Beetle_ID,Color_Code,Collection_Site_Type,Plot_ID,Date_Starvation,Date_Release,Date_Collection,Treatment,Release_Site_Type,Release_Plot_ID,Cage_ID,Species,Weight_g,Weight_After_starvation_g,Weight_After_Field_g,Status_In_Field,Date_Weight_In_Lab,Weight_After_Lab_g,Second_Date_Weight_in_Lab,Second_Weight_in_Lab_g,Eggs,Notes
B140,G-R-G-Y,Grassland,NF2,17/07/2025,18/07/2025,21/07/2025,Translocation,Woodland,GT2,C11,Pterostichus madidus,0.138,0.133,0.021,Eaten,NA,NA,NA,NA,No,Yes. Most of the body was eaten only abdomen collected.
B198,Y-R-B-B,Grassland,NF1,10/07/2025,11/07/2025,14/07/2025,Control,Grassland,NF1,C7,Pterostichus madidus,0.141,0.134,NA,Eaten,NA,NA,NA,NA,No,Yes. Was eaten couldn’t recover any body parts.
B199,Y-R-B-G,Grassland,NF1,24/07/2025,25/07/2025,28/07/2025,Combined,Grassland,CF,C13,Pterostichus madidus,0.121,0.109,NA,Eaten,NA,NA,NA,NA,No,Yes
B225,Y-G-R-R,Grassland,NF1,25/07/2025,26/07/2025,29/07/2025,Control,Grassland,NF1,C1,Pterostichus madidus,0.156,0.136,0.095,Eaten,NA,NA,NA,NA,No,Yes. Body broken and eaten.
B231,Y-G-B-G,Grassland,NF1,31/07/2025,01/08/2025,04/08/2025,Translocation,Woodland,BN,C6,Abax parallelepipedus,0.291,0.281,NA,Eaten,NA,NA,NA,NA,No,Yes
B251,Y-Y-G-G,Woodland,MC,31/07/2025,01/08/2025,04/08/2025,Combined,Grassland,NF1,C18,Abax parallelepipedus,0.321,0.309,0.256,Eaten,NA,NA,NA,NA,No,Yes
B003,R-R-R-G,Woodland,GT1,04/06/2025,06/06/2025,09/06/2025,Competition,Woodland,MC,C3,Abax parallelepipedus,0.291,0.248,NA,Escaped,NA,NA,NA,NA,NA,Yes. Escaped.
B004,R-R-R-Y,Woodland,GT1,04/06/2025,06/06/2025,09/06/2025,Control,Woodland,BN,C6,Abax sp.,0.524,0.431,NA,Escaped,NA,NA,NA,NA,NA,Yes. Escaped.
B007,R-R-B-G,Woodland,MC,04/06/2025,06/06/2025,09/06/2025,Control,Woodland,GT1,C4,Nebria brevicollis,0.079,0.0615,NA,Escaped,NA,NA,NA,NA,NA,Yes. Escaped.
B008,R-R-B-Y,Woodland,MC,04/06/2025,06/06/2025,09/06/2025,Translocation,Grassland,NF1,C1,Nebria brevicollis,0.93,0.075,NA,Escaped,NA,NA,NA,NA,NA,Yes. Escaped.
B011,R-R-G-G,Grassland,NF1,11/06/2025,13/06/2025,16/06/2025,Competition,Grassland,NF1,C7,Abax parallelepipedus,0.292,0.222,NA,Escaped,NA,NA,NA,NA,NA,Yes. Looks like its’s close to dying. One beetle escaped and one found completely eaten and hollowed out.
B024,R-B-B-Y,Woodland,GT1,11/06/2025,13/06/2025,16/06/2025,Competition,Woodland,GT2,C11,Abax parallelepipedus,0.386,0.335,NA,Escaped,NA,NA,NA,NA,NA,Yes. Escaped. There were 2 beetles with no markings so I couldn’t tell which beetle it was but most likely not this one due the amount of weight loss.
B025,R-B-G-R,Grassland,CF,11/06/2025,13/06/2025,16/06/2025,Competition,Grassland,NF1,C7,Abax parallelepipedus,0.290,0.245,NA,Escaped,NA,NA,NA,NA,NA,Yes. One beetle escaped and one found completely eaten and hollowed out.
B038,R-G-B-B,Woodland,GT1,18/06/2025,20/06/2025,23/06/2025,Control,Woodland,GT1,C16,Abax parallelepipedus,0.263,0.241,NA,Escaped,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Trap found empty with slug. Could have died and was eaten by slug.
B039,R-G-B-G,Woodland,GT1,18/06/2025,20/06/2025,23/06/2025,Combined,Woodland,GT1,C4,Pterostichus madidus,0.154,0.142,NA,Escaped,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Escaped or eaten from cage.
B051,R-Y-R-G,Woodland,GT2,18/06/2025,20/06/2025,23/06/2025,Competition,Woodland,GT2,C11,Abax parallelepipedus,0.328,0.300,NA,Escaped,NA,NA,NA,NA,NA,Yes. Testing release without nail polish. Escaped or eaten from cage.
B073,B-R-G-R,Grassland,NF1,26/06/2025,27/06/2025,30/06/2025,Combined,Woodland,GT1,C4,Abax parallelepipedus,0.355,0.327,NA,Escaped,NA,NA,NA,NA,Yes,Yes. Close to laying eggs. Escaped
B077,B-R-Y-R,Woodland,BN,26/06/2025,27/06/2025,30/06/2025,Control,Woodland,GT1,C12,Pterostichus madidus,0.121,0.113,NA,Escaped,NA,NA,NA,NA,No,Yes. Was alive but escaped while collecting.
B080,B-R-Y-Y,Woodland,GT2,26/06/2025,27/06/2025,30/06/2025,Translocation,Grassland,LC,C19,Nebria brevicollis,0.060,0.052,NA,Escaped,NA,NA,NA,NA,No,Yes. Escaped.
B081,B-B-R-R,Woodland,GT2,26/06/2025,27/06/2025,30/06/2025,Combined,Woodland,GT1,C16,Pterostichus madidus,0.120,0.111,NA,Escaped,NA,NA,NA,NA,No,Yes. Escaped.
B083,B-B-R-G,Woodland,GT1,26/06/2025,27/06/2025,30/06/2025,Control,Woodland,GT2,C22,Abax parallelepipedus,0.382,0.336,NA,Escaped,NA,NA,NA,NA,Yes,Yes. Close to laying eggs.
B085,B-B-B-R,Woodland,MC,25/07/2025,26/07/2025,29/07/2025,Control,Woodland,BN,C25,Pterostichus madidus,0.105,0.100,NA,Escaped,NA,NA,NA,NA,No,Yes
B086,B-B-B-B,Woodland,MC,26/06/2025,27/06/2025,30/06/2025,Combined,Woodland,GT1,C4,Pterostichus madidus,0.185,0.160,NA,Escaped,NA,NA,NA,NA,No,Yes. Escaped.
B087,B-B-B-G,Woodland,MC,26/06/2025,27/06/2025,30/06/2025,Combined,Woodland,GT2,C2,Nebria brevicollis,0.068,0.064,NA,Escaped,NA,NA,NA,NA,No,Yes. Escaped.
B091,B-B-G-G,Grassland,NF1,27/06/2025,28/06/2025,01/07/2025,Competition,Grassland,NF2,C14,Abax parallelepipedus,0.281,0.234,NA,Escaped,NA,NA,NA,NA,No,Yes. Escaped.
B093,B-B-Y-R,Grassland,NF1,27/06/2025,28/06/2025,01/07/2025,Combined,Grassland,NF1,C18,Abax parallelepipedus,0.364,0.321,NA,Escaped,NA,NA,NA,NA,No,Yes. Escaped.
B094,B-B-Y-B,Grassland,NF1,27/06/2025,28/06/2025,01/07/2025,Combined,Grassland,NF2,C15,Pterostichus madidus,0.188,0.178,NA,Escaped,NA,NA,NA,NA,Yes,Yes. Close to laying eggs. Escaped
B098,B-G-R-B,Woodland,MC,27/06/2025,28/06/2025,01/07/2025,Combined,Woodland,MC,C23,Nebria brevicollis,0.061,0.057,NA,Escaped,NA,NA,NA,NA,No,Yes. Escaped.
B100,B-G-R-Y,Woodland,GT2,27/06/2025,28/06/2025,01/07/2025,Combined,Woodland,BN,C6,Nebria brevicollis,0.075,0.073,NA,Escaped,NA,NA,NA,NA,No,Yes. Escaped.
B101,B-G-B-R,Woodland,GT2,27/06/2025,28/06/2025,01/07/2025,Combined,Grassland,NF2,C15,Nebria brevicollis,0.059,0.069,NA,Escaped,NA,NA,NA,NA,No,Yes. Escaped.
B102,B-G-B-B,Woodland,GT2,27/06/2025,28/06/2025,01/07/2025,Combined,Grassland,NF1,C18,Leistus fulvibarbis,0.066,0.053,NA,Escaped,NA,NA,NA,NA,No,Yes. Escaped.
B103,B-G-B-G,Woodland,GT2,27/06/2025,28/06/2025,01/07/2025,Competition,Woodland,MC,C10,Abax parallelepipedus,0.354,0.324,NA,Escaped,NA,NA,NA,NA,Yes,Yes. Close to laying eggs.
B107,B-G-G-G,Grassland,CF,03/07/2025,04/07/2025,08/07/2025,Combined,Woodland,BN,C6,Pterostichus madidus,0.132,0.119,NA,Escaped,NA,NA,NA,NA,No,Yes
B115,B-Y-R-G,Woodland,GT2,03/07/2025,04/07/2025,08/07/2025,Translocation,Grassland,NF2,C21,Pterostichus madidus,0.133,0.122,NA,Escaped,NA,NA,NA,NA,No,Yes
B120,B-Y-B-Y,Woodland,GT1,03/07/2025,04/07/2025,08/07/2025,Competition,Grassland,CF,C5,Pterostichus madidus,0.155,0.142,NA,Escaped,NA,NA,NA,NA,No,Yes
B128,B-Y-Y-Y,Grassland,LC,03/07/2025,04/07/2025,08/07/2025,Combined,Woodland,GT2,C11,Pterostichus madidus,0.093,0.680,NA,Escaped,NA,NA,NA,NA,No,Yes
B129,G-R-R-R,Grassland,LC,03/07/2025,04/07/2025,08/07/2025,Competition,Grassland,LC,C20,Calathus fuscipes,0.074,0.067,NA,Escaped,NA,NA,NA,NA,No,Yes
B131,G-R-R-G,Woodland,BN,03/07/2025,04/07/2025,08/07/2025,Combined,Grassland,NF1,C18,Abax sp.,0.633,0.587,NA,Escaped,NA,NA,NA,NA,No,Yes
B132,G-R-R-Y,Woodland,BN,03/07/2025,04/07/2025,08/07/2025,Competition,Woodland,MC,C23,Pterostichus madidus,0.167,0.152,NA,Escaped,NA,NA,NA,NA,No,Yes
B134,G-R-B-B,Woodland,BN,03/07/2025,04/07/2025,08/07/2025,Combined,Grassland,CF,C17,Abax sp.,0.678,0.559,NA,Escaped,NA,NA,NA,NA,No,Yes
B135,G-R-B-G,Woodland,BN,03/07/2025,04/07/2025,08/07/2025,Competition,Woodland,GT2,C22,Pterostichus madidus,0.131,0.113,NA,Escaped,NA,NA,NA,NA,No,Yes
B137,G-R-G-R,Grassland,CF,17/07/2025,18/07/2025,21/07/2025,Translocation,Woodland,BN,C6,Abax sp.,0.337,0.332,NA,Escaped,NA,NA,NA,NA,No,Yes
B138,G-R-G-B,Grassland,CF,17/07/2025,18/07/2025,21/07/2025,Translocation,Woodland,GT1,C16,Abax sp.,0.353,0.332,NA,Escaped,NA,NA,NA,NA,No,Yes
B141,G-R-Y-R,Grassland,NF2,17/07/2025,18/07/2025,21/07/2025,Translocation,Woodland,MC,C26,Pterostichus madidus,0.166,0.165,NA,Escaped,NA,NA,NA,NA,No,Yes
B142,G-R-Y-B,Grassland,NF1,17/07/2025,18/07/2025,21/07/2025,Translocation,Woodland,MC,C10,Pterostichus madidus,0.131,0.124,NA,Escaped,NA,NA,NA,NA,No,Yes.
B145,G-B-R-R,Grassland,NF1,17/07/2025,18/07/2025,21/07/2025,Translocation,Woodland,GT1,C4,Pterostichus madidus,0.106,0.104,NA,Escaped,NA,NA,NA,NA,No,Yes. Accidental blue streak
B147,G-B-R-G,Grassland,NF1,17/07/2025,18/07/2025,21/07/2025,Translocation,Woodland,GT2,C2,Pterostichus madidus,0.122,0.115,NA,Escaped,NA,NA,NA,NA,No,Yes
B152,G-B-B-Y,Woodland,BN,17/07/2025,18/07/2025,21/07/2025,Translocation,Grassland,LC,C20,Pterostichus madidus,0.102,0.091,NA,Escaped,NA,NA,NA,NA,No,Yes
B155,G-B-G-G,Woodland,MC,17/07/2025,18/07/2025,21/07/2025,Translocation,Grassland,CF,C17,Pterostichus madidus,0.132,0.129,NA,Escaped,NA,NA,NA,NA,No,Yes
B156,G-B-G-Y,Woodland,MC,17/07/2025,18/07/2025,21/07/2025,Translocation,Grassland,LC,C24,Pterostichus madidus,0.120,0.113,NA,Escaped,NA,NA,NA,NA,No,Yes. Accidental yellow streak on top right abdomen.
B159,G-B-Y-G,Woodland,MC,17/07/2025,18/07/2025,21/07/2025,Translocation,Grassland,NF2,C15,Nebria brevicollis,0.051,0.051,NA,Escaped,NA,NA,NA,NA,No,Yes. Accidental green streak on top left abdomen. Accidental blue dot on bottom right abdomen with green dot on top of it.
B163,G-G-R-G,Grassland,NF1,03/07/2025,04/07/2025,08/07/2025,Competition,Grassland,NF2,C14,Pterostichus madidus,0.116,0.101,NA,Escaped,NA,NA,NA,NA,No,Yes
B173,G-G-Y-R,Grassland,NF1,03/07/2025,04/07/2025,08/07/2025,Competition,Grassland,NF2,C15,Abax parallelepipedus,0.256,0.288,NA,Escaped,NA,NA,NA,NA,No,Yes
B178,G-Y-R-B,Woodland,GT1,17/07/2025,18/07/2025,21/07/2025,Translocation,Grassland,NF1,C7,Abax parallelepipedus,0.290,0.275,NA,Escaped,NA,NA,NA,NA,No,Yes
B203,Y-R-G-G,Grassland,NF2,24/07/2025,25/07/2025,28/07/2025,Combined,Grassland,CF,C5,Abax parallelepipedus,0.398,0.382,NA,Escaped,NA,NA,NA,NA,No,Yes
B208,Y-R-Y-Y,Woodland,GT2,24/07/2025,25/07/2025,28/07/2025,Combined,Grassland,LC,C24,Pterostichus madidus,0.175,0.166,NA,Escaped,NA,NA,NA,NA,No,Yes
B209,Y-B-R-R,Woodland,GT2,24/07/2025,25/07/2025,28/07/2025,Combined,Grassland,CF,C13,Abax parallelepipedus,0.313,0.303,NA,Escaped,NA,NA,NA,NA,No,Yes
B220,Y-B-G-Y,Woodland,GT2,25/07/2025,26/07/2025,29/07/2025,Control,Woodland,MC,C23,Abax parallelepipedus,0.291,0.271,NA,Escaped,NA,NA,NA,NA,No,Yes
B223,Y-B-Y-G,Woodland,BN,25/07/2025,26/07/2025,29/07/2025,Translocation,Grassland,NF2,C15,Abax sp.,0.368,0.322,NA,Escaped,NA,NA,NA,NA,No,Yes
B226,Y-G-R-B,Grassland,NF1,25/07/2025,26/07/2025,29/07/2025,Control,Grassland,NF2,C14,Pterostichus madidus,0.120,0.110,NA,Escaped,NA,NA,NA,NA,No,Yes
B227,Y-G-R-G,Grassland,NF2,25/07/2025,26/07/2025,29/07/2025,Combined,Grassland,NF2,C21,Pterostichus madidus,0.108,0.101,NA,Escaped,NA,NA,NA,NA,No,Yes
B228,Y-G-R-Y,Grassland,NF2,25/07/2025,26/07/2025,29/07/2025,Translocation,Woodland,MC,C10,Pterostichus madidus,0.110,0.100,NA,Escaped,NA,NA,NA,NA,No,Yes
B230,Y-G-B-B,Grassland,NF2,25/07/2025,26/07/2025,29/07/2025,Control,Grassland,NF1,C18,Pterostichus madidus,0.137,0.127,NA,Escaped,NA,NA,NA,NA,No,Yes
B232,Y-G-B-Y,Grassland,NF1,31/07/2025,01/08/2025,04/08/2025,Competition,Grassland,CF,C13,Abax parallelepipedus,0.282,0.262,NA,Escaped,NA,NA,NA,NA,No,Yes
B233,Y-G-G-R,Grassland,NF1,31/07/2025,01/08/2025,04/08/2025,Translocation,Woodland,GT1,C16,Pterostichus madidus,0.151,0.139,NA,Escaped,NA,NA,NA,NA,No,Yes
B234,Y-G-G-B,Grassland,NF1,31/07/2025,01/08/2025,04/08/2025,Translocation,Woodland,GT2,C11,Abax parallelepipedus,0.342,0.320,NA,Escaped,NA,NA,NA,NA,Yes,Yes. Has a little parasite thing on it
B239,Y-G-Y-G,Grassland,NF1,31/07/2025,01/08/2025,04/08/2025,Translocation,Woodland,BN,C8,Abax parallelepipedus,0.308,0.292,NA,Escaped,NA,NA,NA,NA,No,Yes
B241,Y-Y-R-R,Grassland,NF2,31/07/2025,01/08/2025,04/08/2025,Translocation,Woodland,GT1,C4,Abax sp.,0.708,0.497,NA,Escaped,NA,NA,NA,NA,Yes,Yes
B244,Y-Y-R-Y,Grassland,NF2,31/07/2025,01/08/2025,04/08/2025,Combined,Grassland,NF1,C18,Pterostichus madidus,0.136,0.126,NA,Escaped,NA,NA,NA,NA,No,Yes
B246,Y-Y-B-B,Grassland,NF2,31/07/2025,01/08/2025,04/08/2025,Control,Grassland,CF,C17,Pterostichus madidus,0.150,0.134,NA,Escaped,NA,NA,NA,NA,No,Yes
B248,Y-Y-B-Y,Grassland,CF,31/07/2025,01/08/2025,04/08/2025,Control,Grassland,CF,C5,Abax sp.,0.413,0.381,NA,Escaped,NA,NA,NA,NA,No,Yes
B249,Y-Y-G-R,Grassland,CF,31/07/2025,01/08/2025,04/08/2025,Control,Grassland,LC,C19,Nebria brevicollis,0.052,0.047,NA,Escaped,NA,NA,NA,NA,No,Yes
B254,Y-Y-Y-B,Woodland,BN,31/07/2025,01/08/2025,04/08/2025,Control,Woodland,MC,C23,Pterostichus madidus,0.108,0.098,NA,Escaped,NA,NA,NA,NA,No,Yes. Weird movement in front legs might be injured. Might die soon.
B255,Y-Y-Y-G,Woodland,GT2,31/07/2025,01/08/2025,04/08/2025,Control,Woodland,MC,C3,Abax parallelepipedus,0.287,0.277,NA,Escaped,NA,NA,NA,NA,No,Yes
B256,Y-Y-Y-Y,Woodland,GT2,31/07/2025,01/08/2025,04/08/2025,Competition,Woodland,BN,C25,Abax parallelepipedus,0.382,0.367,NA,Escaped,NA,NA,NA,NA,No,Yes
B257,R-R-R-R,Woodland,GT2,31/07/2025,01/08/2025,04/08/2025,Competition,Woodland,GT1,C12,Abax parallelepipedus,0.252,0.243,NA,Escaped,NA,NA,NA,NA,No,Yes. Left front leg broken.
B259,,,,,,,,,,,,,,,,,,,,,
B260,,,,,,,,,,,,,,,,,,,,,
B261,,,,,,,,,,,,,,,,,,,,,
B262,,,,,,,,,,,,,,,,,,,,,
B263,,,,,,,,,,,,,,,,,,,,,
B264,,,,,,,,,,,,,,,,,,,,,
B265,,,,,,,,,,,,,,,,,,,,,
B266,,,,,,,,,,,,,,,,,,,,,
B267,,,,,,,,,,,,,,,,,,,,,
B268,,,,,,,,,,,,,,,,,,,,,
B269,,,,,,,,,,,,,,,,,,,,,
B270,,,,,,,,,,,,,,,,,,,,,
B271,,,,,,,,,,,,,,,,,,,,,
B272,,,,,,,,,,,,,,,,,,,,,
B273,,,,,,,,,,,,,,,,,,,,,
B274,,,,,,,,,,,,,,,,,,,,,
B275,,,,,,,,,,,,,,,,,,,,,
B276,,,,,,,,,,,,,,,,,,,,,
B277,,,,,,,,,,,,,,,,,,,,,
B278,,,,,,,,,,,,,,,,,,,,,
B279,,,,,,,,,,,,,,,,,,,,,
B280,,,,,,,,,,,,,,,,,,,,,
B281,,,,,,,,,,,,,,,,,,,,,
B282,,,,,,,,,,,,,,,,,,,,,
B283,,,,,,,,,,,,,,,,,,,,,
B284,,,,,,,,,,,,,,,,,,,,,
B285,,,,,,,,,,,,,,,,,,,,,
B286,,,,,,,,,,,,,,,,,,,,,
B287,,,,,,,,,,,,,,,,,,,,,
B288,,,,,,,,,,,,,,,,,,,,,
B289,,,,,,,,,,,,,,,,,,,,,
B290,,,,,,,,,,,,,,,,,,,,,
B291,,,,,,,,,,,,,,,,,,,,,
B292,,,,,,,,,,,,,,,,,,,,,
B293,,,,,,,,,,,,,,,,,,,,,
B294,,,,,,,,,,,,,,,,,,,,,
B295,,,,,,,,,,,,,,,,,,,,,
B296,,,,,,,,,,,,,,,,,,,,,
B297,,,,,,,,,,,,,,,,,,,,,
B298,,,,,,,,,,,,,,,,,,,,,
B299,,,,,,,,,,,,,,,,,,,,,
B300,,,,,,,,,,,,,,,,,,,,,
B301,,,,,,,,,,,,,,,,,,,,,
B302,,,,,,,,,,,,,,,,,,,,,
B303,,,,,,,,,,,,,,,,,,,,,
B304,,,,,,,,,,,,,,,,,,,,,
B305,,,,,,,,,,,,,,,,,,,,,
B306,,,,,,,,,,,,,,,,,,,,,
B307,,,,,,,,,,,,,,,,,,,,,
B308,,,,,,,,,,,,,,,,,,,,,
B309,,,,,,,,,,,,,,,,,,,,,
B310,,,,,,,,,,,,,,,,,,,,,
B311,,,,,,,,,,,,,,,,,,,,,
B312,,,,,,,,,,,,,,,,,,,,,
B313,,,,,,,,,,,,,,,,,,,,,
B314,,,,,,,,,,,,,,,,,,,,,
B315,,,,,,,,,,,,,,,,,,,,,
B316,,,,,,,,,,,,,,,,,,,,,
B317,,,,,,,,,,,,,,,,,,,,,
B318,,,,,,,,,,,,,,,,,,,,,
B319,,,,,,,,,,,,,,,,,,,,,
B320,,,,,,,,,,,,,,,,,,,,,
B321,,,,,,,,,,,,,,,,,,,,,
B322,,,,,,,,,,,,,,,,,,,,,
B323,,,,,,,,,,,,,,,,,,,,,
B324,,,,,,,,,,,,,,,,,,,,,
B325,,,,,,,,,,,,,,,,,,,,,
B326,,,,,,,,,,,,,,,,,,,,,
B327,,,,,,,,,,,,,,,,,,,,,
B328,,,,,,,,,,,,,,,,,,,,,
B329,,,,,,,,,,,,,,,,,,,,,
B330,,,,,,,,,,,,,,,,,,,,,
B331,,,,,,,,,,,,,,,,,,,,,
B332,,,,,,,,,,,,,,,,,,,,,
B333,,,,,,,,,,,,,,,,,,,,,
B334,,,,,,,,,,,,,,,,,,,,,
B335,,,,,,,,,,,,,,,,,,,,,
B336,,,,,,,,,,,,,,,,,,,,,
B337,,,,,,,,,,,,,,,,,,,,,
B338,,,,,,,,,,,,,,,,,,,,,
B339,,,,,,,,,,,,,,,,,,,,,
B340,,,,,,,,,,,,,,,,,,,,,
B341,,,,,,,,,,,,,,,,,,,,,
B342,,,,,,,,,,,,,,,,,,,,,
B343,,,,,,,,,,,,,,,,,,,,,
B344,,,,,,,,,,,,,,,,,,,,,
B345,,,,,,,,,,,,,,,,,,,,,
B346,,,,,,,,,,,,,,,,,,,,,
B347,,,,,,,,,,,,,,,,,,,,,
B348,,,,,,,,,,,,,,,,,,,,,
B349,,,,,,,,,,,,,,,,,,,,,
B350,,,,,,,,,,,,,,,,,,,,,
B351,,,,,,,,,,,,,,,,,,,,,
B352,,,,,,,,,,,,,,,,,,,,,
B353,,,,,,,,,,,,,,,,,,,,,
B354,,,,,,,,,,,,,,,,,,,,,
B355,,,,,,,,,,,,,,,,,,,,,
B356,,,,,,,,,,,,,,,,,,,,,
B357,,,,,,,,,,,,,,,,,,,,,
B358,,,,,,,,,,,,,,,,,,,,,
B359,,,,,,,,,,,,,,,,,,,,,
B360,,,,,,,,,,,,,,,,,,,,,
B361,,,,,,,,,,,,,,,,,,,,,
B362,,,,,,,,,,,,,,,,,,,,,
B363,,,,,,,,,,,,,,,,,,,,,
B364,,,,,,,,,,,,,,,,,,,,,
B365,,,,,,,,,,,,,,,,,,,,,
B366,,,,,,,,,,,,,,,,,,,,,
B367,,,,,,,,,,,,,,,,,,,,,
B368,,,,,,,,,,,,,,,,,,,,,
B369,,,,,,,,,,,,,,,,,,,,,
B370,,,,,,,,,,,,,,,,,,,,,
B371,,,,,,,,,,,,,,,,,,,,,
B372,,,,,,,,,,,,,,,,,,,,,
B373,,,,,,,,,,,,,,,,,,,,,
B374,,,,,,,,,,,,,,,,,,,,,
B375,,,,,,,,,,,,,,,,,,,,,
B376,,,,,,,,,,,,,,,,,,,,,
B377,,,,,,,,,,,,,,,,,,,,,
B378,,,,,,,,,,,,,,,,,,,,,
B379,,,,,,,,,,,,,,,,,,,,,
B380,,,,,,,,,,,,,,,,,,,,,
B381,,,,,,,,,,,,,,,,,,,,,
B382,,,,,,,,,,,,,,,,,,,,,
B383,,,,,,,,,,,,,,,,,,,,,
B384,,,,,,,,,,,,,,,,,,,,,
B385,,,,,,,,,,,,,,,,,,,,,
B386,,,,,,,,,,,,,,,,,,,,,
B387,,,,,,,,,,,,,,,,,,,,,
B388,,,,,,,,,,,,,,,,,,,,,
B389,,,,,,,,,,,,,,,,,,,,,
B390,,,,,,,,,,,,,,,,,,,,,
B391,,,,,,,,,,,,,,,,,,,,,
